stencil,orientation,invoice_number,cone_size,number_of_lines,misc_info,date_of_inventory,silkscreen,warehouse
CITY OF SPTBG PW,HRZ,122289,"28""",2 LINES,ORDERED AS SILKSCREEN,2020-02-28,,TX
CITY OF OMAHA TRAFFIC MAINT,HRZ,121277,"28""",4 LINES,ORDRED AS SILKSCREEN,2020-02-05,,TX
C OF B P&R,HRZ,124254,"28""",2 LINES,,2020-04-23,,TX
COLLEYVILLE PD,HRZ,124870,"28""",2 LINE,ORDERED AS SILKSCREEN,2020-05-12,,TX
CITY OF TEMPLE UTILITIES,HRZ,125656,"28"" SLIM",3 LINE,,2020-06-01,,TX
COBB DPS,HRZ,126485,"28""",,ORDERED AS SILKSCREEN,2020-06-19,,TX
CW UNDERGROUND UTILITY,HRZ,127228,"28""",3 LINE,,2020-07-09,,TX
CDPH,HRZ,127394,"28""",,ORDERED AS SILKSCREEN,2020-07-13,,TX
CLEAN OUT,VER,127396,"18""",,,2020-07-13,,TX
CHAMPION INFRA,HRZ,127718,"28"" SLIM",2 LINE,,2020-07-21,,TX
CITY OF SPEARFISH,HRZ,128287,"28""",2 LINE,,2020-08-03,,TX
CITY OF GREENVILLE TRAFFIC DIVISION,HRZ,128374,"28"" SLIM",4 LINE,,2020-08-05,,TX
CITY OF GREENVILLE STREETS DIVISON,HRZ,128374,"28"" SLIM",4 LINE,,2020-08-05,,TX
CITY OF EAGLE PASS,VER,129384,ATOP,,,2020-09-01,,TX
COPU,HRZ,128277,"36""",,TRANSFER FROM NJ,2020-09-03,,TX
COH,HRZ,130948,"36""",,ORDERED AS SILKSCREEN,2020-10-14,,TX
COBB POLICE,HRZ,131008,"28""",2 LINE,ORDERED AS SILKSCREEN,2020-10-15,,TX
CCWD,HRZ,131555,"36""",,ORDERED AS SILKSCREEN,2020-10-29,,TX
CPD TRAINING,HRZ,131634,"18""",,,2020-10-30,,TX
CITY OF SNYDER,HRZ,131735,"28"" SLIM",2 LINE,,2020-11-03,,TX
CFW/N.W.,HRZ,131879,"28""",,,2020-11-06,,TX
CODE COMPLIANCE,HRZ,131993,"28""",2 LINE,ORDERED AS SILKSCREEN,2020-11-10,,TX
COJ TRAFFIC ENGINEERING,HRZ,132229,"28""",3 LINE,ORDERED AS SILKSCREEN,2020-11-17,,TX
CITY OF PEARSALL,HRZ,132491,"28""",2 LINE,,2020-11-23,,TX
CITY OF KILLEEN,HRZ,132891,"28""",2 LINE,,2020-12-07,,TX
CITY OF DUNCANVILLE/STREETS DEPARTMENT,HRZ,133591,"28""",4 LINE,MADE AS STENCIL PER CS,2021-01-06,,TX
CODE COMPLIANCE,HRZ,133696,"28""",2 LINE,,2021-01-07,,TX
CITY OF SEAGOVILLE STREET DEPT.,HRZ,133728,"28""",4 LINE,,2021-01-08,,TX
CITY OF SEAGOVILLE WATER & SEWER DEPT.,HRZ,133728,"28""",4 LINE,,2021-01-08,,TX
COGSS,VER,133873,"28""",,,2021-01-13,,TX
CLEAN SCAPES 214.446.1606,HRZ,134748,"36""",2 LINE,,2021-02-08,,TX
CITY OF PAMPA,HRZ,134737,"28""",2 LINE,,2021-02-08,,TX
CITY OF GALVESTON DISTRIBUTION & COLLECTIONS,HRZ,135124,"36""",5 LINE,ORDERED AS SILKSCREEN,2021-02-15,,TX
CFP STREETS,,135487,"36""",2 LINE,"""T"" SHAPE ORDRED AS SILKSCREEN",2021-02-26,,TX
CFW 200,HRZ,137085,"28""",2 LINE,ORDERED AS SILKSCREEN,2021-03-31,,TX
CCU,HRZ,137393,"28""",,,2021-04-07,,TX
CITY OF SAVANNAH,VER,137804,"18""",2 LINE,,2021-04-23,,TX
CVFD,HRZ,138152,"28""",,,2021-04-23,,TX
COUNTY TRAFFIC,HRZ,138155,"28"" SLIM",2 LINE,,2021-04-23,,TX
COA STREET LIGHTS,HRZ,138365,"28""",3 LINE,,2021-04-28,,TX
CITY OF BALLINGER,HRZ,138398,"28""",2 LINE,,2021-04-28,,TX
CART RETURN,VER,138740,ATOP,,,2021-05-06,,TX
COT,HRZ,132966,"36""",,,2021-05-19,,TX
CITY OF COCOA WFO,HRZ,139806,"36""",3 LINE,ORDERED AS SILKSCREEN,2021-06-03,,TX
CITY OF DUNCANVILLE PARD,HRZ,138365,"28""",3 LINE,STENCIL SENT PER CS,2021-06-21,,TX
COA TRAFFIC,HRZ,140876,"28"" SLIM",2 LINE,,2021-07-02,,TX
CITY OF LAUDERHILL PUBLIC WORKS DEPT.,HRZ,141305,"36""",2 LINE,ORDERED AS SILKSCREEN,2021-07-26,,TX
CITY OF LAUDERHILL EMERGENCY RESPONSE PUBLIC WORKS DEPT.,HRZ,142193,"36""",3 LINE,ORDERED AS SILKSCREEN,2021-08-13,,TX
CPD MOTORS,HRZ,141493,"18""",2 LINE,,2021-07-23,,TX
COLLEYVILLE PD,HRZ,141493,"28"" SLIM",2 LINE,,2021-07-23,,TX
COSA STREET & BRIDGE,HRZ,141645,"28""",2 LINE,,2021-07-27,,TX
CRANE WORKS,HRZ,141852,"28""",2 LINE,CONVERTED TO SILK SCREEN 08/01/24,2021-08-05,,TX
COK W&S,HRZ,141793,"28""",2 LINE,ORDERED AS SILKSCREEN,2021-08-11,,TX
COT DRAINAGE,HRZ,142171,"36""",2 LINE,ORDERED AS SILKSCREEN,2021-08-13,,TX
COT STREETS,HRZ,142172,"36""",2 LINE,ORDERED AS SILKSCREEN,2021-08-13,,TX
CAMP THRUMAN LOGO,,140069,"28""",,ORDERED AS SILKSCREEN,2021-06-14,,TX
CEPRAL LANSCAPE LOGO,,139431,"36""",,ORDERED AS SILKSCREEN,2021-05-21,,TX
CI SERVICES LOGO,,139215,"28""",,ORDERED AS SILKSCREEN,2021-05-18,,TX
CITY OF PASADENA TEXAS,HRZ,,"28"" & 36""",Upgraded from wood frame 10/10/24,ORDERED AS SILKSCREEN,2010-04-10,,TX
CENTERPOINT ENERGY,HRZ,,,,ORDERED AS SILKSCREEN,,,TX
CITY OF NIXA MISSOURI,HRZ,S13659,,,ORDERED AS SILKSCREEN,2013-08-02,,TX
CITY OF WACO LOGO STREETS 254-750-8690,HRZ,S13924,,,ORDERED AS SILKSCREEN,2013-09-19,,TX
CLEBURNE logo,HRZ,S16280,,,ORDERED AS SILKSCREEN,2014-11-26,,TX
CELINA TEXAS LOGO,HRZ,TS18517,,,ORDERED AS SILKSCREEN,2016-01-26,,TX
CITY OF SPRINGFIELD PUBLIC WORKS,HRZ,S20404,"28""",Updated 01/23/25 to automated screen machine,ORDERED AS SILKSCREEN,2016-10-31,,TX
CENTERPOINT ENERGY LOGO,HRZ,HO05423,"28""",,ORDERED AS SILKSCREEN,,,TX
COA,HRZ,HO5424,"28""",,ORDERED AS SILKSCREEN,2017-01-30,,TX
CONSTRUCTORS LAYOUT,,S21832,"28""",,ORDERED AS SILKSCREEN,2017-04-24,,TX
COLONIAL LAYOUT,HRZ,TS24810,"28""",,ORDERED AS SILKSCREEN,2018-02-26,,TX
CITY OF PALM BAY FLORDIA PUBLIC WORKS,,137855,"36""",,ORDERED AS SILKSCREEN,2021-04-16,,TX
CORAL SPRINGS POLICE MOTOR UNIT LOGO,,132268,"36""",,ORDERED AS SILKSCREEN,2020-11-18,,TX
CITY OF EVERMAN LOGO,,129090,"28""",,ORDERED AS SILKSCREEN,2020-08-27,,TX
CALVARY DAY SCHOOL LOGO,,129784,"18"" & 28""",,1 SCREEN TO FIT BOTH,2020-09-15,,TX
CON EDISON LOGO,,126387,"28""",,TRANSFER FROM NJ,2020-06-18,,TX
CAMANA BAY LOGO,,121337,"28""",,ORDERED AS SILKSCREEN,2020-02-06,,TX
CHAMBERLIN LOGO,,122155,"28""",,ORDERED AS SILKSCREEN,2020-02-27,,TX
CoServ LOGO,,121943,"28""",,ORDERED AS SILKSCREEN,2020-02-20,,TX
COLUMBIA STATE UNIVERSITY LOGO,HRZ,108404,"28""",,ORDERED AS SILKSCREEN,2019-03-02,,TX
CITY OF FRISCO UTILITIES,HRZ,106090,"28""",,ORDERED AS SILKSCREEN,2018-12-18,,TX
CITY OF FAYETTEVILLE WATER SEWER  METER,HRZ,105092,"28""",,ORDERED FOR NJ BY CS LATER CS CHANGED TO TX,2018-11-13,,TX
CVE PRODUCTION PARKING ONLY,HRZ,105552,"28""",,ORDERED AS SILKSCREEN,2018-11-29,,TX
COA L/O,HRZ,101956,28,,2 REPLACEMENT SCREENS,2018-08-30,,TX
CONCRETE SERVICES LAYOUT,HRZ,TS25808,"36""",,ORDERED AS SILKSCREEN,2018-05-17,,TX
CONSAIR LOGO,,131451,"28"" SLIM",,,2020-10-27,,TX
CITY OF PALESTINE,HRZ,146621,"28""",3 line,Converted from stencil,2022-03-14,,TX
CITY OF WESTON PUBLIC WORKS,HRZ,149712,"36""",3 line,,2020-05-10,,TX
CITY OF FRISCO STREETS,HRZ,150094,"28"" WIDE BODY",3 line,,2022-05-24,,TX
CITY OF LUCAS,HRZ,150421,"28""",3 line,,2022-06-03,,TX
COA SW,HRZ,150657,"28""",2 LINE,,2022-06-09,,TX
COA N.STREETS,HRZ,150657,"28""",2 LINE,,2022-06-09,,TX
COA S.STREETS,HRZ,150657,"28""",2 LINE,,2022-06-09,,TX
COPASA,HRZ,150923,"36""",,ORDERED AS SILKSCREEN,2022-06-21,,TX
C.T.I. SEVICES,HRZ,151213,"28""",2 LINE,ORDERED AS SILKSCREEN,2022-07-01,,TX
CC RR TRANS DEPT,HRZ,151841,"36""",3 line,ORDERED AS SILKSCREEN,2022-07-27,,TX
CITY OF NEVADA,HRZ,152089,"28""",2 LINE,ORDERED AS SILKSCREEN,2022-08-04,,TX
CADDO NATION EM,HRZ,152106,"28""",3 LINE,,2022-08-08,,TX
COH,HRZ,152170,"18""",,"No exisiting file for 18"" cones",2022-08-10,,TX
CPD TU,HRZ,152838,"18""",,,2022-09-02,,TX
CITY OF DENISON,HRZ,153552,"36""",2 LINE,ORDERED AS SILKSCREEN,2022-09-30,,TX
CLEORA CARDINAL logo,HRZ,154453,"28""",,,2022-11-09,,TX
CLEARWATER EXPRESS WASH logo,,147435,"28""",Transferred to Texas warehouse SO# 154682 11/18/22,Transferred from Ca warehouse SO# 154682 11/18/22,2022-11-18,,TX
COA,HRZ,155024,"28"" SLIM","4"" LETTERS",,2022-12-05,,TX
CITY OF ROAKWALL STREETS,HRZ,155136,"28""",3 LINE,ORDERED AS SILKSCREEN,2022-12-06,,TX
CITY OF CLERMONT,HRZ,154981,"36""",2 LINE,,2022-12-06,,TX
COS,HRZ,155330,"36""",,,2022-12-17,,TX
CITY OF ODESSA,HRZ,155505,"28""",2 LINE,ORDERED AS SILKSCREEN,2022-12-29,,TX
CITY OF MUSKOGEE,HRZ,155670,"28"" SLIM",2 LINE,,2023-01-08,,TX
CISCO LOBOES (logo),HRZ,155970,"28""",,,2023-01-18,,TX
CSWFW,HRZ,156445,"28"" SLIM",,,2023-02-06,,TX
CITY OF LAUDERHILL PUBLIC WORKS,HRZ,157156,"36""",5 LINE,ORDERED AS SILKSCREEN,2023-03-03,,TX
CITY OF LAUDERHILL EMERGENCY RESPONSE,HRZ,157156,"36""",5 LINE,ORDERED AS SILKSCREEN,2023-03-03,,TX
CITY OF ROCKWALL UTILITIES,HRZ,157154,"28""",3 LINE,ORDERED AS SILKSCREEN,2023-03-07,,TX
CFW 845,HRZ,157914,"28"" SLIM",,,2023-03-28,,TX
CONE AND GRAHAM HEAVY CONSTRUCTION logo,HRZ,158479,"36""",,,2023-04-13,,TX
CITY OF SULPHUR SPRINGS,HRZ,159294,"28""",3 LINE,ORDERED AS SILKSCREEN,2023-05-08,,TX
CWSI,HRZ,160118,"36""",,ORDERED AS SILKSCREEN requested by Victor,2023-06-01,,TX
CITY OF IRVING MDU,HRZ,160262,"28"" SLIM",3 LINE,,2023-06-06,,TX
CUBE logo,HRZ,160430,"28"" SLIM",,,2023-06-12,,TX
CITY OF WARRENTON,HRZ,161086,"28""",2 LINE,,2023-06-28,,TX
CITY OF CLUTE,HRZ,162337,"28""",2 LINE,,2023-08-09,,TX
CLWB STREETS,HRZ,162526,"36""",2 LINE,,2023-08-15,,TX
CSPW,VER,162780,"36""",,,2023-08-23,,TX
COH 323,HRZ,163009,"28""",2 LINE,,2023-08-29,,TX
CONCRETE WORKS & PAVING,HRZ,163155,"36""",3 LINE,,2023-09-05,,TX
COLLEYVILLE PD,HRZ,163252,"28"" WB",2 LINE,,2023-09-07,,TX
COW PACS,HRZ,163516,"28"" SLIM",2 LINE,,2023-09-14,,TX
CITY OF SUNRISE UTILITIES,HRZ,163387,"36""",3 LINE,TRANSFER FROM NJ,2023-09-18,,TX
COSA,HRZ,163810,"28"" SLIM",,,2023-09-25,,TX
CISD PD,HRZ,163790,"28""",2 LINE,,2023-09-25,,TX
"Cornerstone ""C""  logo",HRZ,163853,"28""",,,2023-09-26,,TX
CITY OF LINDALE,HRZ,164179,"28"" SLIM",2 LINE,,2023-10-05,,TX
CUBBY'S INC.,HRZ,164450,"28""",2 LINE,,2023-10-15,,TX
CITY OF HOLLYWOOD PU/UU,HRZ,164541,"36""",3 LINE,,2023-10-18,,TX
C O W M,VER,164844,"36""",,,2023-10-31,,TX
CMB,HRZ,165110,"36""",,OES Font,2023-11-07,,TX
CCCW,VER,165121,"28""",,,2023-11-07,,TX
CWEP,HRZ,165747,"18""",,OES Font,2023-12-05,,TX
CITY OF MABANK,VER,165868,A-Top,,OES Font,2023-12-08,,TX
CITY OF MABANK logo,HRZ,165868,"36"" CONE",,,2023-12-08,,TX
CITY OF TUSCALOOSA,VER,165982,"36""",2 LINE,,2023-12-12,,TX
CMB-PW,HRZ,166167,"28"" & 36""",,Ordered AS SILK SCREEN OES Font,2023-12-20,,TX
CITY OF POMPANO BEACH SIGH SHOP,HRZ,166324,"36""",4 LINE,,2024-01-03,,TX
CITY OF VENUS,HRZ,166919,"36""",2 LINE,,2024-01-23,,TX
CITY OF LA GRANGE,HRZ,166360,"28""",2 LINE,,2024-01-24,,TX
CITY OF GATESVILLE,HRZ,167115,"28"" SLIM",2 LINE,,2024-01-30,,TX
CITY OF SPEARFISH,HRZ,167148,"28""",2 LINE,OES Font,2024-01-30,,TX
CLUB INTERNACIONAL DE FUTBOL MIAMI logo,HRZ,166512,"28"" Pink",,,2024-01-09,,TX
CITY OF BOYD TEXAS logo,HRZ,167491,"28""",,,2024-03-14,,TX
CITY OF BOYD,HRZ,167491,"18""",2 LINE,OES Font,2024-03-14,,TX
COF ELECTRIC,HRZ,168614,"36""",2 LINE,,2024-03-15,,TX
CITY OF FRISCO ENVIROMENTAL SERVICES,HRZ,168970,"28""",4 LINE,Ordered AS SILK SCREEN,2024-03-27,,TX
CIT OF CORSICANA,HRZ,169197,"28"" SLIM",2 LINE,Ordered AS SILK SCREEN,2024-04-05,,TX
CITY OF SHERMAN,HRZ,169272,"28""",2 LINE,,2024-04-10,,TX
"COFFFEE CUP LOGO ""7 BREW""",HRZ,169488,"28""",,Ordered AS SILK SCREEN,2024-04-10,,TX
CITY OF ALVIN,HRZ,169825,"28"" SLIM",2 LINE,,2024-04-22,,TX
CCS,HRZ,170085,"28""",,Transferred from Nj,2024-04-29,,TX
CFWSW,HRZ,171456,"28"" SLIM",2 LINE,,2024-06-10,,TX
CITY OF FRISCO STORMWATER,HRZ,172096,"28""",3 LINE,,2024-06-27,,TX
CAMANA BAY LOGO,HRZ,172089,"28""",2 LINE,ORDERED AS SILKSCREEN 2024 NEW ART DESIGN,2024-06-28,,TX
CITY OF FRISCO TRAFFIC,HRZ,172320,"28""",3 LINE,Ordered AS SILK SCREEN,2024-07-08,,TX
CITY OF SHERMAN STREET MAINTENANCE,HRZ,172960,"28""",4 LINE,,2024-07-29,,TX
CELINA TEXAS LIFE CONNECTED LOGO,HRZ,173407,"28"" SLIM",,NEW ART FILE 2024,2024-08-12,,TX
CITY OF WAMEGO,HRZ,173516,"28""",2 LINE,,2024-08-13,,TX
CMFD,HRZ,173750,"28""",,,2024-08-20,,TX
CITY OF GLENPOOL,HRZ,174159,"28"" SLIM",2 LINE,,2024-08-30,,TX
CITY OF MONETT STREET DEPT,HRZ,174734,"28""",4 LINE,,2024-09-18,,TX
CITY OF WINTER GARDEN,HRZ,175440,"36""",4 LINE,Ordered AS SILK SCREEN OES font,2024-10-09,,TX
COP W/S,HRZ,175680,"36""",,OES font,2024-10-16,,TX
CITY OF ALTON,HRZ,176372,"28""",3 LINE,OES font,2024-11-07,,TX
CITY OF KELLER,HRZ,176812,"28""",,Ordered AS SILK SCREEN,2024-11-20,,TX
CRESTVIEW PUBLIC SERVICES,HRZ,177029,"36""",3 LINE,Ordered AS SILK SCREEN,2024-11-27,,TX
CITY OF ARDMORE,HRZ,177086,"28""",3 LINE,Ordered AS SILK SCREEN OES font,2024-12-03,,TX
CE,HRZ,177695,"28""","4"" letters",,2024-12-05,,TX
CITY OF FRISCO STREETS,HRZ,177458,"28"" SLIM",3 LINE,,2024-12-17,,TX
COSA STREET AND BRIDGE,HRZ,177568,"28""",4 LINE,Ordered AS SILK SCREEN OES font,2024-12-20,,TX
CITY OF MANOR SD,HRZ,177657,"28""",4 LINE,Ordered AS SILK SCREEN OES font,2025-01-05,,TX
CITY OF MANOR W/WW,HRZ,177657,"28""",4 LINE,Ordered AS SILK SCREEN OES font,2025-01-05,,TX
CITY OF SHERMAN UTILITIES DEPT,HRZ,177690,"28""",3 LINE,,2025-01-05,,TX
CITY OF EVERMAN,HRZ,177992,"28"" SLIM",3 LINE,,2025-01-14,,TX
CITY OF WESLACO TRAFFIC,HRZ,178374,"36""",4 LINE,Ordered AS SILK SCREEN OES font,2025-01-28,,TX
CITY OF FRISCO WATER DEPT,HRZ,180101,"28""",4 LINE,Ordered AS SILK SCREEN,2025-03-19,,TX
CITY OF NEVADA,HRZ,180688,"28""",3 LINE,OES font,2025-04-03,,TX
CITY SPRINGS logo,HRZ,181522,"28""",,Ordered AS SILK SCREEN (OES),2025-04-24,,TX
COMPASS TRAFFIC CONTROL logo,HRZ,181855,"36""",,Ordered AS SILK SCREEN,2025-05-02,,TX
CITY OF SHERMAN QUALITY SERVICES,HRZ,182153,"28""",4 LINE,Ordered AS SILK SCREEN,2025-05-12,,TX
CITY OF ALLEN WS logo,HRZ,400074,"28"" SLIM",,Ordered AS SILK SCREEN,2025-06-26,,TX
CITY OF WESLACO WATER & SEWER,HRZ,400137,"36""",6 LINE,OES FONT,2025-07-07,,TX
CHANDLER OAKS,VER,400310,A-Top,,,2025-07-29,,TX
CCUA,VER,400432,A-Top,,OES FONT,2025-08-13,,TX
DRURY,HRZ,,,,,,,TX
DRURY,VER,,,,,,,TX
DEVOLVE,HRZ,,,,,,,TX
DFR,HRZ,,,,,,,TX
DALLAS WATER UTILITIES,VER,,,,Converted to silk screen 08/15/24,,,TX
DTCI,VER,,,,Converted to silk screen 08/15/24,,,TX
DALLAS STREET SERVICES,VER,,,,Converted to silk screen 08/15/24,,,TX
DALLAS STREET SERVICES,VER,,,,,,,TX
DELTA,VER,,,,,,,TX
D&G,VER,,,,,,,TX
DALLAS POLICE DEPT,VER,,,,,,,TX
DIESEL,HRZ,S8605,,,,,,TX
DPD,VER,S1512,,,"3"" LETTERS",,,TX
DTB10,VER,S8888,,,,,,TX
D P W,HRZ,S9579,,,,,,TX
DALLAS EXECUTIVE AIRPORT,HRZ,S9977,,3-LINE,,2010-09-20,,TX
DOCUMENT SHREDDING,HRZ,S10640,,2-LINE,,2011-06-30,,TX
DIRECT TC.,VER,S10887,,,,2011-09-07,,TX
DALLAS FIRE,HRZ,S10923,,2-LINE,,2011-09-15,,TX
DES PERES STREET DEPT.,HRZ,S11135,"18""",2-LINE,,2011-11-14,,TX
DFM,HRZ,S11241,,,,2011-12-19,,TX
DETRAC,HRZ,S11860,,,,2012-06-08,,TX
DALLAS PARKS,HRZ,S11962,,2-LINE,,2012-07-03,,TX
DANGER,VER,S12857,,,,2013-02-26,,TX
DALLAS STREET SERVICES,VER,,,3-LINE,Converted to silk screen 08/15/24,2013-08-06,,TX
DALLAS WATER UTILITIES,VER,,"18""",3-LINE,Converted to silk screen 08/15/24,2013-09-17,,TX
DIESEL,HRZ,S14128,,,,2013-10-30,,TX
DU,HRZ,S14204,,,,2013-11-13,,TX
DELTA,VER,S14354,,,TRANSFER FROM NJ,2013-12-20,,TX
DALLAS FIRE,HRZ,S15132,,2-LINE,,2013-05-14,,TX
DSO,HRZ,S17941,"28""",,SLIM CONE,2015-09-17,,TX
DFW PAVEMENTS,HRZ,S18001,"28""",,SLIM CONE,2015-09-28,,TX
DIRECT TC.,HRZ,S19336,"28""",,SLIM CONE,2016-05-13,,TX
DALLAS WATER UTILITIES,VER,S19537,"18""",,,2016-06-07,,TX
DELTA,VER,S19750,"36""",,TRANSFER FROM NJ,2016-07-07,,TX
DFWAV,HRZ,S21236,"28""",,,2017-02-13,,TX
DYNAMIC,HRZ,S21982,"28""",,Converted to silk screen 07/21/22 SO 151161,2017-05-09,,TX
DU GWWW TTC,HRZ,S22268,"36""",,,2017-06-09,,TX
DROP ZONE,HRZ,S22789,"12""",2-LINE,,2017-08-07,,TX
DANGER DROP ZONE,HRZ,S23653,"12"" & 18""",2-LINE,TRANSFER FROM NJ,2017-10-31,,TX
DGS,HRZ,S24599,"36""",,TRANSFER FROM NJ,2018-02-07,,TX
DALLAS TRANSPORTATION,HRZ,S24686,"28""",2-LINE,CONVERTED TO SCREEN 11/12/19 118729,2018-02-14,,TX
DWR,HRZ,,"28""",,TRANSFER FROM NJ,2018-02-27,,TX
DVM OLIO,HRZ,S25015,"28""",2-LINE,TRANSFER FROM NJ,2018-03-15,,TX
DUININCK,HRZ,S25785,"28""",,SLIM CONE,2018-05-15,,TX
DALLAS POLICE DEPT.,VER,S26255,"18""",3-LINE,CONVERTED TO SCREEN 2/10/20 121456,2018-07-02,,TX
DEEPWELL,HRZ,100559,"28""",,,2018-07-12,,TX
DANA SITE,HRZ,101110,"36""",2-LINE,,2018-07-26,,TX
DEWEY CO DIST #1,HRZ,10177,"36""",2-LINE,,2018-08-14,,TX
DROP ZONE,VER,101798,"18""",,,2018-08-14,,TX
DRIER PIPELINE,HRZ,102534,"28""",2-LINE,SLIM CONE,2018-09-04,,TX
DRMP,HRZ,105284,"36""",,,2018-11-19,,TX
DANGER DROP ZONE,HRZ,105407,"18""",3-LINE,,2018-11-27,,TX
DBI,HRZ,108704,"36""",,CONVERTED TO SILKSCREEN,2019-02-21,,TX
DAK PARKING,HRZ,112792,"36""",,TRANSFER FROM NJ,2019-04-29,,TX
DULUTH POLICE,HRZ,113582,"18""",,,2019-07-10,,TX
DHS PARKING,HRZ,114384,"36""",2 LINE,TRANSFER FROM NJ/ ORDERED AS SILKSCREEN,2019-07-30,,TX
DO NOT PARK AT ANY TIME,HRZ,115736,"36""",3 LINE,,2019-08-29,,TX
DGSO,VER,118328,"28""",,,2019-10-31,,TX
DO NOT PARK AT ANY TIME,VER,119819,"28""",2 LINE,,2019-12-17,,TX
DO NOT PARK AT ANYTIME,VER,119819,D-TOP+3M,2 LINE,,2019-12-17,,TX
DBi,HRZ,120840,"36""",,ORDRED AS SILKSCREEN,2020-01-23,,TX
DUVAL ASPHALT,HRZ,,"28""",2 LINE,ORDERED AS SILKSCREEN,2020-04-24,,TX
DCEM,HRZ,129482,"36""",,,2020-09-04,,TX
DDOT,HRZ,130293,"28""",,ORDERED AS SILKSCREEN,2020-09-25,,TX
DANBURY F D,VER,130296,"12""",,,2020-09-25,,TX
DECATUR FIRE,HRZ,132960,"28""",2 LINES,,2020-12-09,,TX
DAVEY TREE,HRZ,133570,"28""",2 LINES,ORDERED AS SILKSCREEN,2021-01-06,,TX
DO NOT ENTER,HRZ,134920,"18""",2 LINE,ORDERED AS SILKSCREEN,2021-02-11,,TX
DO NOT ENTER,HRZ,135650,"28""",3 LINE,,2021-03-03,,TX
DMC,HRZ,136051,"28""",,,2021-03-09,,TX
DAK,HRZ,138633,"36""",,,2021-05-03,,TX
DO NOT ENTER,VER,139682,ATOP,,,2021-05-28,,TX
DPS,HRZ,143641,"18""",,,2021-09-29,,TX
DWG,HRZ,143641,"18""",,,2021-09-29,,TX
DANGER DROP ZONE LOGO,,145132,"18""",,TRANSFER FROM CA,2021-12-17,,TX
DAVIE POLICE LOGO,,143453,"28""",,ORDERED AS SILKSCREEN,2021-09-24,,TX
DIAMOND SHINE LOGO,,139680,"28""",,ORDERED AS SILKSCREEN,2021-05-28,,TX
DALLAS VALET SERVICES,HRZ,S8184,,,ORDERED AS SILKSCREEN,,,TX
DALLAS VALET SERVICES,HRZ,S10020,"18""",,ORDERED AS SILKSCREEN,2011-02-07,,TX
DIRECT TRAFFIC CONTROL INC,HRZ,S10226,"28""",,ORDERED AS SILKSCREEN,2011-04-01,,TX
DALLAS/FT. WORTH LITE & BARRICADE,HRZ,,,,PHONE # INCLUDED,2016-03-16,,TX
DALLAS LITE,HRZ,HO5484,"28""",,REMADE FOR AUTOMATED MACHINE,2017-10-26,,TX
DOUBLE R UTILITES LOGO,,128928,"36""",,ORDERED AS SILKSCREEN,2020-08-20,,TX
DEERFIELD LOGO PARKS AND REC,,121536,"36""",,ORDERED AS SILKSCREEN,2020-02-11,,TX
DALLAS LITE LOGO NEW,,,,,CONVERSION FROM OLD SCREEN,2019-12-12,,TX
DK HANEY ROOFING LOGO,,114400,"28""",,ORDERED AS SILKSCREEN,2019-07-24,,TX
DIESEL FIRST LOGO,,111664,"28""",,ORDERED AS SILKSCREEN,2019-05-17,,TX
DPW L/O,HRZ,101467,"28""",,ORDERED AS SILKSCREEN,2018-08-03,,TX
DWM L/O,HRZ,102100,"28""",,ORDERED AS SILKSCREEN,2018-08-21,,TX
DANGER DROP ZONE L/O,HRZ,10146,"18""",,W/COLLARS,2018-08-15,,TX
DEPAUL LOGO,HRZ,S26295-1,"28""",,ORDERED AS SILKSCREEN,2018-06-27,,TX
DTS,HRZ,147820,"18"" and 28"" Slim",,,2022-03-14,,TX
DCPD NLC,HRZ,149991,"18""",,,2022-05-20,,TX
DOLLAR GENERAL FLEET,HRZ,149864,"28""",,Sent file from Nj warehouse Prior order 148612,2022-06-23,,TX
DAIKIN KDC logo,HRZ,151248,"36""",,ORDERED AS SILKSCREEN,2022-07-01,,TX
DO NOT ENTER NO ENTRAR,HRZ,151588,"12""",,,2022-07-18,,TX
DYNAMIC,HRZ,151161,"28""",,Converted from stencil,2022-07-21,,TX
DMD 2022,HRZ,153104,"28""",,ORDERED AS SILKSCREEN stencil font,2022-09-14,,TX
DUNCANVILLE logo CITY OF CHAMPIONS,HRZ,157411,"28""",,Also has Stencil UTILITIES,2023-03-11,,TX
DES DEEP ELLUM logo,HRZ,158091,"36""",,,2023-04-04,,TX
DANGER ! DROP ZONE DANGER,VER,161626,"18"" no collar",4 LINES,,2023-07-19,,TX
DALLAS LITE & BARRICADE,HRZ,163490,"28"" SLIM",,NEW LOGO 2023,2023-09-14,,TX
DALLAS LITE & BARRICADE,HRZ,163490,"36""",,NEW LOGO 2023,2023-09-14,,TX
DALLAS LITE & BARRICADE,HRZ,163490,"18""",,NEW LOGO 2023,2023-09-14,,TX
DRIVERS ED,VER,163792,"36""",,,2023-09-25,,TX
DC PD-ECC,HRZ,164385,"18""",2 LINE,,2023-10-12,,TX
DULUTH PSA,HRZ,165458,"18""",2 LINE,,2023-11-21,,TX
DALTON UTILITIES,HRZ,165573,"28"" SLIM",2 LINE,Resent file 7/25/24,2023-11-28,,TX
DEX,VER,165686,"36""",,OES font,2023-12-01,,TX
DRILLWORX logo DIRECTIONAL DRILLING,HRZ,165755,"28""",2 LINE,,2023-12-05,,TX
DPD,HRZ,166140,"12""",,,2023-12-19,,TX
